"committee","motiondate","motionname_ch","motionname_en","mover","movertype","motionresult","andrewleung","jamesto","leungyiuchung","abrahamshek","tommycheung","josephlee","jeffreylam","wongtingkwong","starrylee","chanhakkan","chankinpor","priscillaleung","wongkwokkin","reginaip","paultse","leungkwokhung","claudiamo","michaeltien","stevenho","frankieyick","wuchiwai","yiusiwing","mafungkwok","charlespetermok","chanchichuen","chanhanpan","leungchecheung","kennethleung","alicemak","kwokkaki","kwokwaikeung","denniskwok","christophercheung","fernandocheung","helenawong","ipkinyuen","elizabethquat","martinliao","poonsiuping","chianglaiwan","lowaikwok","chungkwokpan","alvinyeung","andrewwan","chuhoidick","jimmyng","juniusho","hokaiming","lamcheukting","holdenchow","shiukafai","shiukachun","wilsonor","yunghoiyan","pierrechan","chanchunying","tanyachan","cheungkwokkwan","huichifung","lukchunghung","laukwokfan","kennethlau","chengchungtai","kwongchunyu","jeremytam","nathanlaw","yiuchungyim","lausiulai","sixtusleung","yauwaiching","garyfan","aunokhin","vincentcheng","tonytse","chanhoiyan","eddiechu"
"council",2016-11-10,"根據《立法會(權力及特權)條例》動議的議案","motion under the legislative council (powers and privileges) ordinance","lamcheukting","member","negatived","present","yes","absent","absent","no","present","no","no","no","no","no","no","no","absent","no","yes","yes","absent","no","no","yes","no","no","yes","yes","no","no","yes","no","absent","no","yes","no","yes","yes","yes","no","no","no","no","no","absent","yes","yes","yes","no","absent","no","yes","no","no","yes","no","absent","absent","absent","absent","no","absent","no","no","absent","yes","yes","yes","yes","yes","present","absent","absent",NA,NA,NA,NA,NA,NA
"council",2016-11-16,"吳永嘉議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon jimmy ng to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","jimmyng","member","negatived","present","no","no","absent","yes","no","absent","no","no","no","yes","abstain","no","yes","yes","no","no","no","no","yes","no","yes","abstain","absent","no","no","no","absent","no","no","no","absent","absent","no","no","no","no","yes","no","no","abstain","absent","no","no","no","yes","no","no","no","no","yes","no","no","yes","no","abstain","absent","no","no","no","no","abstain","absent","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"蔣麗芸議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon chiang lai-wan to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","chianglaiwan","member","negatived","present","yes","no","absent","abstain","yes","absent","yes","yes","yes","abstain","no","yes","yes","no","yes","no","abstain","yes","abstain","yes","no","yes","absent","yes","yes","yes","absent","yes","no","yes","absent","absent","no","yes","yes","yes","no","yes","yes","no","absent","no","yes","abstain","no","yes","yes","yes","yes","abstain","no","yes","yes","yes","abstain","absent","yes","yes","yes","yes","no","absent","yes","no","no","no","abstain",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"尹兆堅議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon andrew wan to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","andrewwan","member","negatived","present","yes","yes","absent","no","yes","absent","no","no","no","no","no","yes","no","no","yes","no","no","no","no","yes","no","abstain","absent","yes","no","no","absent","yes","yes","yes","absent","absent","yes","yes","yes","no","no","yes","no","no","absent","yes","yes","yes","no","yes","yes","yes","no","no","yes","no","no","yes","no","absent","no","yes","yes","no","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"張超雄議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon fernando cheung to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","fernandocheung","member","negatived","present","yes","yes","absent","no","yes","absent","no","no","no","no","no","abstain","no","no","yes","yes","no","no","no","yes","no","no","absent","yes","no","no","absent","abstain","yes","abstain","absent","absent","yes","yes","yes","no","no","yes","no","no","absent","yes","yes","yes","no","no","abstain","yes","no","no","yes","no","no","no","no","absent","no","yes","abstain","no","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"劉小麗議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by dr hon lau siu-lai to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","lausiulai","member","negatived","present","yes","yes","absent","no","yes","absent","abstain","abstain","abstain","abstain","no","present","no","no","yes","yes","no","abstain","no","yes","no","no","absent","yes","abstain","abstain","absent","present","yes","present","absent","absent","yes","yes","yes","abstain","no","yes","abstain","no","absent","yes","yes","yes","no","yes","present","yes","abstain","no","yes","abstain","no","yes","abstain","absent","abstain","yes","present","present","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"田北辰議員對黃國健議員的「取消強制性公積金對沖機制」議案作出的修正案","amendment by hon michael tien to hon wong kwok-kin's motion on “abolishing the mandatory provident fund offsetting mechanism”","michaeltien","member","negatived","present","no","no","absent","no","no","absent","abstain","abstain","abstain","abstain","no","no","absent","no","no","no","yes","abstain","no","no","no","abstain","absent","no","abstain","abstain","absent","no","no","no","absent","absent","no","no","no","abstain","no","no","abstain","no","absent","no","no","no","abstain","abstain","no","no","abstain","no","no","abstain","absent","no","abstain","absent","abstain","no","no","abstain","no","absent","no","no","no","no","no",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"「取消強制性公積金對沖機制」議案","motion on “abolishing the mandatory provident fund offsetting mechanism”","wongkwokkin","member","passed","present","yes","yes","absent","no","yes","absent","yes","yes","yes","abstain","no","yes","yes","no","yes","yes","no","yes","no","yes","no","abstain","absent","yes","yes","yes","absent","yes","yes","yes","absent","absent","yes","yes","yes","yes","no","yes","yes","no","absent","yes","yes","yes","no","yes","yes","yes","yes","no","yes","yes","yes","yes","abstain","absent","yes","yes","yes","yes","no","absent","yes","yes","yes","yes","yes",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"葉建源議員對張國鈞議員的「規定初中中國歷史獨立成科」議案作出的修正案","amendment by hon ip kin-yuen to hon cheung kwok-kwan's motion on “requiring the teaching of chinese history as an independent subject at junior secondary level”","ipkinyuen","member","negatived","present","yes","yes","absent","absent","yes","no","no","no","no","no","no","abstain","no","yes","yes","yes","no","no","yes","yes","abstain","no","yes","yes","no","no","yes","abstain","yes","abstain","yes","no","absent","yes","yes","no","abstain","abstain","no","no","yes","yes","yes","abstain","absent","no","abstain","yes","no","yes","yes","no","no","yes","abstain","yes","no","yes","abstain","no","no","abstain","yes","yes","abstain","yes","absent",NA,NA,NA,NA,NA,NA,NA,NA
"council",2016-11-16,"葉劉淑儀議員對張國鈞議員的「規定初中中國歷史獨立成科」議案作出的修正案","amendment by hon mrs regina ip to hon cheung kwok-kwan's motion on “requiring the teaching of chinese history as an independent subject at junior secondary level”","reginaip","member","passed","present","no","no","absent","absent","no","yes","yes","yes","yes","yes","yes","yes","yes","yes","no","no","yes","yes","abstain","no","yes","yes","no","no","yes","yes","no","yes","abstain","yes","no","yes","absent","no","no","yes","yes","yes","yes","yes","abstain","abstain","no","no","absent","yes","yes","no","yes","abstain","no","yes","yes","yes","yes","abstain","yes","no","yes","yes","yes","abstain","no","abstain","no","no","absent",NA,NA,NA,NA,NA,NA,NA,NA
