member_en,member_ch,constituency_en,constituency_ch,party_en,party_ch,caucus_en,caucus_ch
abrahamshek,石禮謙,functional,功能,bpa,經民聯,establishment,建制
alicemak,麥美娟,geographical,地區,ftu,工聯會,establishment,建制
alvinyeung,楊岳橋,geographical,地區,civic,公民黨,pandemocratic,泛民
andrewleung,梁君彥,functional,功能,bpa,經民聯,establishment,建制
andrewwan,尹兆堅,geographical,地區,democratic,民主黨,pandemocratic,泛民
aunokhin,區諾軒,geographical,地區,independent,獨立人士,pandemocratic,泛民
chanchichuen,陳志全,geographical,地區,peoplepower,人民力量,pandemocratic,泛民
chanchunying,陳振英,functional,功能,independent,獨立人士,establishment,建制
chanhakkan,陳克勤,geographical,地區,dab,民建聯,establishment,建制
chanhanpan,陳恒鑌,geographical,地區,dab,民建聯,establishment,建制
chanhoiyan,陳凱欣,geographical,地區,independent,獨立人士,establishment,建制
chankinpor,陳健波,functional,功能,independent,獨立人士,establishment,建制
charlespetermok,莫乃光,functional,功能,profcommons,公專聯,pandemocratic,泛民
chengchungtai,鄭松泰,geographical,地區,civicpassion,熱血公民,independent,獨立或其他
cheungkwokkwan,張國鈞,geographical,地區,dab,民建聯,establishment,建制
chianglaiwan,蔣麗芸,geographical,地區,dab,民建聯,establishment,建制
christophercheung,張華峰,functional,功能,bpa,經民聯,establishment,建制
chuhoidick,朱凱廸,geographical,地區,independent,獨立人士,pandemocratic,泛民
chungkwokpan,鍾國斌,functional,功能,liberal,自由黨,establishment,建制
claudiamo,毛孟靜,geographical,地區,hkfirst,香港本土,pandemocratic,泛民
denniskwok,郭榮鏗,functional,功能,civic,公民黨,pandemocratic,泛民
elizabethquat,葛珮帆,geographical,地區,dab,民建聯,establishment,建制
fernandocheung,張超雄,geographical,地區,labour,工黨,pandemocratic,泛民
frankieyick,易志明,functional,功能,liberal,自由黨,establishment,建制
garyfan,范國威,geographical,地區,neodemocrats,新民主同盟,pandemocratic,泛民
helenawong,黃碧雲,geographical,地區,democratic,民主黨,pandemocratic,泛民
hokaiming,何啟明,functional,功能,ftu,工聯會,establishment,建制
holdenchow,周浩鼎,functional,功能,dab,民建聯,establishment,建制
huichifung,許智峯,geographical,地區,democratic,民主黨,pandemocratic,泛民
ipkinyuen,葉建源,functional,功能,ptu,教協,pandemocratic,泛民
jamesto,涂謹申,functional,功能,democratic,民主黨,pandemocratic,泛民
jeffreylam,林健鋒,functional,功能,bpa,經民聯,establishment,建制
jeremytam,譚文豪,geographical,地區,civic,公民黨,pandemocratic,泛民
jimmyng,吳永嘉,functional,功能,independent,獨立人士,establishment,建制
josephlee,李國麟,functional,功能,independent,獨立人士,pandemocratic,泛民
juniusho,何君堯,geographical,地區,independent,獨立人士,establishment,建制
kennethlau,劉業強,functional,功能,bpa,經民聯,establishment,建制
kennethleung,梁繼昌,functional,功能,profcommons,公專聯,pandemocratic,泛民
kwokkaki,郭家麒,geographical,地區,civic,公民黨,pandemocratic,泛民
kwokwaikeung,郭偉强,geographical,地區,ftu,工聯會,establishment,建制
kwongchunyu,鄺俊宇,functional,功能,democratic,民主黨,pandemocratic,泛民
lamcheukting,林卓廷,geographical,地區,democratic,民主黨,pandemocratic,泛民
laukwokfan,劉國勳,functional,功能,dab,民建聯,establishment,建制
lausiulai,劉小麗,geographical,地區,independent,獨立人士,pandemocratic,泛民
leungchecheung,梁志祥,geographical,地區,dab,民建聯,establishment,建制
leungkwokhung,梁國雄,geographical,地區,lsd,社民連,pandemocratic,泛民
leungyiuchung,梁耀忠,functional,功能,nwsc,街工,pandemocratic,泛民
lowaikwok,盧偉國,functional,功能,bpa,經民聯,establishment,建制
lukchunghung,陸頌雄,functional,功能,ftu,工聯會,establishment,建制
mafungkwok,馬逢國,functional,功能,newforum,新世紀論壇,establishment,建制
martinliao,廖長江,functional,功能,independent,獨立人士,establishment,建制
michaeltien,田北辰,geographical,地區,roundtable,實政圓桌,establishment,建制
nathanlaw,羅冠聰,geographical,地區,demosisto,香港眾志,pandemocratic,泛民
paultse,謝偉俊,geographical,地區,independent,獨立人士,pandemocratic,建制
pierrechan,陳沛然,functional,功能,independent,獨立人士,independent,獨立或其他
poonsiuping,潘兆平,functional,功能,flu,勞聯,establishment,建制
priscillaleung,梁美芬,geographical,地區,bpa,經民聯,establishment,建制
reginaip,葉劉淑儀,geographical,地區,npp,新民黨,establishment,建制
shiukachun,邵家臻,functional,功能,independent,獨立人士,pandemocratic,泛民
shiukafai,邵家輝,functional,功能,liberal,自由黨,establishment,建制
sixtusleung,梁頌恆,geographical,地區,youngspiration,青年新政,independent,獨立或其他
starrylee,李慧琼,functional,功能,dab,民建聯,establishment,建制
stevenho,何俊賢,functional,功能,dab,民建聯,establishment,建制
tanyachan,陳淑莊,geographical,地區,civic,公民黨,pandemocratic,泛民
tommycheung,張宇人,functional,功能,liberal,自由黨,establishment,建制
tonytse,謝偉銓,functional,功能,independent,獨立人士,establishment,建制
vincentcheng,鄭泳舜,geographical,地區,dab,民建聯,establishment,建制
wilsonor,柯創盛,geographical,地區,dab,民建聯,establishment,建制
wongkwokkin,黃國健,geographical,地區,ftu,工聯會,establishment,建制
