member_en,member_ch,constituency_en,constituency_ch,party_en,party_ch,caucus_en,caucus_ch,all_dim1,all_dim2,council_dim1,council_dim2,finance_dim1,finance_dim2,house_dim1,house_dim2
abrahamshek,石禮謙,functional,功能,bpa,經民聯,establishment,建制,-0.457863856374872,0.235375072333339,0.291342009458476,-0.180853791786465,0.170706809005591,-0.220693220827408,-0.410024360244344,-0.0371675026833097
alicemak,麥美娟,geographical,地區,ftu,工聯會,establishment,建制,-0.615493203854867,-0.166755772793748,0.379862097923103,0.0519723718863851,0.371822786134335,0.0452991786999297,-0.442348286068331,-0.0128217894287509
alvinyeung,楊岳橋,geographical,地區,civic,公民黨,pandemocratic,泛民,0.83570757212548,0.185945104074839,-0.56619051901941,-0.0471688205824146,-0.432308864402841,-0.0613312538402392,0.59879092536449,0.0131062735234726
andrewleung,梁君彥,functional,功能,bpa,經民聯,establishment,建制,0.331178243804802,-1.44742622308007,-0.0831198277586377,0.906892368105831,,,,
andrewwan,尹兆堅,geographical,地區,democratic,民主黨,pandemocratic,泛民,0.848258427133897,0.107120401982124,-0.544610997804646,-0.110604472855938,-0.450012802092522,0.0737618610913983,0.602330820112955,0.0154981161927385
aunokhin,區諾軒,geographical,地區,independent,獨立人士,pandemocratic,泛民,0.936195393600327,-0.197862178893172,-0.619547240582018,0.152247149381687,-0.451453353668014,0.189413192478783,0.59516840413137,-0.0076549548298122
chanchichuen,陳志全,geographical,地區,peoplepower,人民力量,pandemocratic,泛民,1.01272603416125,-0.0956315550360888,-0.622512992129828,0.162440671423184,-0.520985210030566,0.107130051290141,0.596425910932294,0.0153159591813916
chanchunying,陳振英,functional,功能,independent,獨立人士,establishment,建制,-0.675784925932561,-0.15690074822408,0.421301984481579,0.0114625450538004,0.375466511466012,0.122402060330424,-0.445829322912212,-0.0103133559499604
chanhakkan,陳克勤,geographical,地區,dab,民建聯,establishment,建制,-0.615379630219523,-0.115728767267784,0.385940901751405,0.0147220254637671,0.347098560262173,-0.0111541384874069,-0.441151058455183,-0.0141687524556273
chanhanpan,陳恒鑌,geographical,地區,dab,民建聯,establishment,建制,-0.552876096731701,-0.147271407559157,0.368456187116926,0.0221642863112952,0.262054045841588,0.0676490234588159,-0.443128270546468,-0.0228761741915049
chanhoiyan,陳凱欣,geographical,地區,independent,獨立人士,establishment,建制,-0.617497715974437,-0.130307067402041,0.371893481006126,-0.00163321839573337,0.335038860592736,0.0923837752855834,-0.440611326740298,-0.0135371356942028
chankinpor,陳健波,functional,功能,independent,獨立人士,establishment,建制,-0.634257899994382,-0.551559905104889,0.420850633902492,0.00659196467474758,-0.0873678145491275,0.787792542043336,-0.442365548783111,-0.0189492261015574
charlespetermok,莫乃光,functional,功能,profcommons,公專聯,pandemocratic,泛民,0.676978506879767,0.2506693626016,-0.423809569023798,-0.118046987866362,-0.399648163038314,-0.11723567208447,0.593745216932577,0.0142316998237634
chengchungtai,鄭松泰,geographical,地區,civicpassion,熱血公民,independent,獨立或其他,1.03613025472548,-0.130459147698077,-0.620753547874004,0.20769087708957,-0.538371941292037,0.120385528757402,0.594451763721642,0.0166041277894284
cheungkwokkwan,張國鈞,geographical,地區,dab,民建聯,establishment,建制,-0.652963698830137,-0.108102393719759,0.401591344592983,0.0106687887355627,0.365076320895429,0.0283979486078485,-0.447199660049009,-0.0160636111523067
chianglaiwan,蔣麗芸,geographical,地區,dab,民建聯,establishment,建制,-0.574513255785427,0.0141062249062785,0.357213064671239,-0.0346203710796024,0.286323219756281,-0.0632405376103782,-0.447371000532278,-0.0244561143994077
christophercheung,張華峰,functional,功能,bpa,經民聯,establishment,建制,-0.677621985617554,-0.0887860893799932,0.431456456256422,0.0242805783419337,0.347662076168506,0.0460248799973761,-0.444949437975616,-0.00923392103889068
chuhoidick,朱凱廸,geographical,地區,independent,獨立人士,pandemocratic,泛民,0.978812943497369,-0.0105771976206984,-0.60762555723281,0.0730441238825967,-0.511047080651235,0.119017755574068,0.604007033421838,-0.00125760152909521
chungkwokpan,鍾國斌,functional,功能,liberal,自由黨,establishment,建制,-0.388649425452148,0.262473295939318,0.212367921002127,-0.123392506685047,0.123828448869159,-0.316184621264103,-0.430969956667483,-0.118358706698964
claudiamo,毛孟靜,geographical,地區,hkfirst,香港本土,pandemocratic,泛民,0.935733464932153,0.0593883797010708,-0.585463011523835,0.0302103251446541,-0.489771181245556,0.0551191506998804,0.594480823774723,0.00958304437031424
denniskwok,郭榮鏗,functional,功能,civic,公民黨,pandemocratic,泛民,0.653515313240282,0.504348792959843,-0.514996110673925,-0.216602235333002,-0.245277174605112,-0.326952279937157,0.594527128851572,0.0134915427402892
